Input	Predicted	Actual_output
be discreet .	['soyez', 'discretes', '!']	sois discret !
you re weak .	['vous', 'etes', 'faible', '.']	vous etes faibles .
are you sure ?	['etes', 'vous', 'sure', '?']	etes vous sures ?
i screamed .	['je', 'me', 'le', '.']	j ai crie .
sign here .	['signe', 'ici', '.']	signez ici .
go away .	['va', '!', 'en', '!']	va t en !
i m fussy .	['je', 'suis', 'difficile', '.']	je suis tatillonne .
what a pity !	['quel', 'dommage']	dommage !
we remember .	['nous', 'nous', 'en', 'souvenons']	nous nous souvenons .
don t laugh .	['ne', 'ris', 'pas', '.']	ne riez pas .
what a loss !	['quel', 'gachis', '!']	quelle perte !
have fun .	['prends', 's', '.', '.']	amusez vous bien !
he gave in .	['il', 'a', 'cede']	il ceda .
who is he ?	['qui', 'est', 'il', '?']	qui est ce ?
i like honey .	['j', 'aime', 'les', 'trains', '.']	j aime le miel .
she shot him .	['elle', 'le', 'descendit', '.', '.']	elle lui tira dessus .
i was good .	['j', 'ai', 'ete', 'bon', '.']	j ai ete bonne .
is that love ?	['c', 'est', 'ca', 'l', 'amour', '?']	est ce de l amour ?
i cut class .	['je', 'y', 'suis', 'en']	j ai seche .
i wrote it .	['je', 'me', 'ecrit', 'ecrit', '.', '.', '.', '.']	c est moi qui l ai ecrit .
he is sick .	['il', 'est', 'malade', '.']	il est malade .
i must hurry .	['je', 'dois', 'me', 'depecher', '.']	je dois me hater .
i m hungry !	['j', 'ai', 'faim', '!']	j ai faim !
it s dead .	['c', 'est', 'mort', '.']	il est mort .
i was at work .	['je', 'm', 'a', 'travailler', '.']	j etais au travail .
i had fun .	['je', 'me', 'suis', 'amusee', '.']	je me suis amuse .
bring the key .	['emmene', 'la', 'cle', '.']	apporte la cle .
she runs .	['elle', 'me', '.']	elle court .
i needed help .	['j', 'ai', 'eu', 'besoin', 'd', 'aide', '.']	il me fallut de l aide .
i am sure .	['je', 'suis', 'certain', '.']	je suis sur .
i won t cry .	['je', 'ne', 'crierai', 'pas', '.']	je ne pleurerai pas .
can we go ?	['pouvons', 'nous', 'y', 'en']	pouvons nous partir ?
i ll help you .	['je', 't', 'aiderai', '.']	je vous aiderai .
i m a teacher .	['je', 'suis', 'professeur', '.']	je suis enseignante .
i feel blue .	['je', 'me', 'sens', 'en', 'veine']	je me sens deprime .
you may sit .	['tu', 'peux', 't', 'asseoir', '.']	vous pouvez vous asseoir .
sweet dreams !	['fais', 'de', 'beaux', 'reves', '!']	faites de beaux reves !
he tricked me .	['il', 'm', 'a', 'flouee', '.']	il m a eu .
i m on a diet .	['je', 'suis', 'en', '.', '.']	je suis au regime .
is it legal ?	['est', 'ce', '?', '?']	est ce legal ?
thanks a lot .	['merci', 'bien', '.']	mille mercis .
do i look old ?	['je', 'je', 'je', 'l', 'air', 'vieille']	ai je l air vieille ?
hop in .	['monte', '.']	montez .
be fair .	['sois', 'juste', '!']	soyez juste !
ask anyone .	['demande', 'a', 'quiconque', '!', 'qui', '.']	demandez a n importe qui .
you may swim .	['tu', 'peux', 'nager', '.', '.', '.', '.']	tu as la permission de nager .
we succeeded !	['nous', 'avons', 'la', '!']	nous avons reussi !
i love french .	['j', 'adore', 'le', 'francais', '.']	j adore le francais .
i ll grab it .	['je', 'le', 'saisirai', '.', '.', '.']	je mettrai la main dessus .
be confident .	['soyez', 'confiantes', '!']	soyez confiante !
i like skiing .	['j', 'aime', 'les', 'trains', '.']	j aime le ski .
i lost my dog .	['je', 'perdis', 'mon', 'chien', '.', '.']	j ai perdu mon chien .
we re tired .	['nous', 'sommes', 'fatiguees', '.']	nous sommes fatigues .
he s a bigot .	['c', 'est', 'un', 'illumine', '.']	c est un bigot .
i m sleepy !	['j', 'ai', 'sommeil', '!']	je suis fatigue !
i rewrote it .	['je', 'l', 'ai', 'reecrit']	je le reecrivis .
i m buying .	['je', 'paie', '.', '.', '.', '.']	c est moi qui paie .
wake up !	['reveille', 'toi', '!']	reveillez vous !
he s a nerd .	['c', 'est', 'un', 'illumine', '.']	c est un binoclard .
you re safe .	['vous', 'etes', 'saufs', '.', '.']	tu es en securite .
we are here .	['nous', 'sommes', 'ici', '.']	nous y sommes .
i am a muslim .	['je', 'suis', 'musulmane', '.']	je suis musulman .
he has a book .	['il', 'dispose', 'd', 'un', 'livre']	il a un livre .
who wants it ?	['qui', 'en', 'veut', '?']	qui le veut ?
got it !	['compris', '!', '!', '!']	j ai pige !
are you hurt ?	['vous', 'etes', 'vous', 'blesses', '?']	vous etes vous blesse ?
is it a wolf ?	['est', 'ce', 'un', 'loup', '?']	est ce une louve ?
please stop .	['s', 'il', 'te', 'plait', 'arrete', '.']	s il vous plait arretez .
this is lame .	['c', 'est', 'faible', '.']	c est mauvais .
i respect you .	['je', 'vous', 'respecte', '.']	je te respecte .
i want that .	['moi', 'je', 'veux', 'ca']	je le veux .
come in .	['entre', '.']	entre !
have fun .	['prends', 'ce', '.', '.']	amuse toi bien !
i m tall .	['je', 'suis', 'fort', '.']	je suis grande .
i guess so .	['je', 'le', 'suppose']	j imagine .
it s stupid .	['c', 'est', 'idiot', '.']	c est bete .
stay calm .	['garde', 'ton', 'sang']	reste calme .
he helps her .	['il', 'l', 'aime', '.']	il l aide .
you re fair .	['vous', 'etes', 'juste', '.']	vous etes justes .
we got lucky .	['nous', 'avons', 'eu', 'de', 'la', 'chance', '.']	on a eu de la chance .
i ve got you .	['je', 't', 'ai', 'eues', '.']	je vous ai eus .
i m a doctor .	['je', 'suis', 'medecin', '.']	je suis toubib .
don t tell me .	['ne', 'me', 'le', 'dis', 'pas']	m en parle pas .
flip a coin .	['prends', 'un', 'emploi', '!']	lance une piece !
i like sushi .	['j', 'aime', 'les', 'echecs', '.']	j aime les sushis .
we re even .	['nous', 'sommes', 'a', 'egalite']	nous sommes quittes .
we agreed .	['nous', 'sommes', '.', '.', '.', '.']	nous sommes tombes d accord .
let it be .	['ainsi', 'soit', '.']	laisse faire .
i went aboard .	['je', 'suis', 'monte', 'a', 'bord', '.']	je suis montee a bord .
who built it ?	['qui', 'l', 'a', 'bati', '?']	qui l a batie ?
don t deny it .	['ne', 'le', 'niez', 'pas', '!']	ne le nie pas !
hold this .	['tenez', 'ceci', '!']	tiens ca !
shut up !	['ferme', 'ferme', '!']	tais toi !
stay sharp .	['restez', 'ton', '.']	reste malin !
i cringed .	['j', 'ai', 'un', 'mouvement', 'de', 'recul', '.']	je suis rentre en moi meme .
i told you so .	['je', 'te', 'l', 'ai', 'dit', '!']	je te l avais dit !
i feel funny .	['je', 'me', 'sens', 'bizarre', '.']	je me sens drole .
let me check .	['laisse', 'moi', 'verifier', '.']	laissez moi controler .
we ll go .	['nous', 'devrions', '.']	nous irons .
call me .	['appelle', 'moi', '!']	appellez moi !
can we help ?	['pouvons', 'nous', 'y', 'de', 'nous', '?', '?', '?']	pouvons nous donner un coup de main ?
he s a liar .	['il', 'est', 'un', 'menteur', '.']	c est un menteur .
it s my job .	['c', 'est', 'mon', 'metier', '.']	c est mon emploi .
i can t leave .	['je', 'n', 'peux', 'pas', '.', '.']	je ne peux pas partir .
here s .	['c', 'est', 'trois', '.']	voila cinq dollars .
i forgot .	['je', 'me', 'suis', 'a']	j ai oublie .
he s broke .	['il', 'est', 'ruine', '.']	il est fauche .
tom drinks .	['tom', 'y', '.']	tom boit .
i felt strong .	['je', 'me', 'suis', 'sentie', 'forte', '.']	je me suis senti fort .
tom forgot .	['tom', 'a', 'oublie']	tom oublia .
we re back .	['nous', 'sommes', 'de', 'retour', '.']	nous sommes de retour .
i ll go in .	['j', 'irai', '.']	j entrerai .
get your gear .	['va', 'chercher', 'tes', 'affaires', '!']	va chercher ton materiel !
they lost .	['ils', 'ont', 'perdu', '.']	elles ont perdu .
this is big .	['c', 'est', 'grand', '.']	c est gros .
that is mine .	['c', 'est', 'a', 'moi', '.']	c est la mienne .
it s a song .	['c', 'est', 'une', 'chanson', '.']	c est une chanson .
is he right ?	['est', 'il', 'il', 'dans', 'il']	a t il raison ?
hurry up .	['pressez', 'vous']	grouille !
tom s funny .	['tom', 'est', 'drole', '.']	tom est marrant .
wait a sec .	['attendez', 'une', 'seconde', '.']	attends une seconde !
i survived .	['j', 'ai', '.', '.']	j ai survecu .
i ll allow it .	['je', 'l', 'reparai', '.']	je le permettrai .
beats me .	['aucune', 'idee', '.', '.', '.', '.']	j en sais foutre rien .
take it all .	['prenez', 'tout', '!']	prends tout !
i trusted you .	['je', 'te', 'fis', 'confiance', '.', '.']	je t ai fait confiance .
put it back .	['recule', 'le', '!', '!', '!']	remets le en place !
i was curious .	['j', 'etais', 'curieux', '.']	j etais curieuse .
he let us go .	['il', 'nous', 'a', 'laisses', 'partir', 'en', 'aller', '.']	il nous a laisses nous en aller .
i ll be nice .	['je', 'serai', 'gentil', '.']	je serai gentille .
he got caught .	['nous', 'a', 'fait', 'prendre', '.', '.']	il s est fait prendre .
i was asleep .	['j', 'etais', 'endormie', '.']	j etais endormi .
